,year,counry,metabolite,daily mean,weekday mean,weekend mean
391,2012,FI,methamphetamine,,,
392,2012,FI,MDMA,14.57,6.57,20.57
393,2012,FI,cannabis,,,
394,2012,FI,cocaine,9.27,5.47,12.12
395,2013,FI,amphetamine,158.5,148.71,165.85
396,2013,FI,methamphetamine,,,
397,2013,FI,MDMA,32.879999999999995,16.15,45.43
398,2013,FI,cannabis,,,
399,2013,FI,cocaine,,,
400,2014,FI,amphetamine,736.55,647.8799999999999,803.0499999999998
401,2014,FI,methamphetamine,76.10000000000001,100.14999999999999,58.05
402,2014,FI,MDMA,180.83,136.55,214.03999999999996
403,2014,FI,cannabis,,,
404,2014,FI,cocaine,42.11000000000001,36.99000000000001,47.25
405,2015,FI,amphetamine,339.90999999999997,288.61,378.38
406,2015,FI,methamphetamine,24.619999999999997,23.76,25.270000000000003
407,2015,FI,MDMA,129.95,48.45,191.08
408,2015,FI,cannabis,,,
409,2015,FI,cocaine,23.720000000000002,16.62,29.04
410,2016,FI,amphetamine,810.48,725.1,874.5299999999999
411,2016,FI,methamphetamine,367.3,343.59000000000003,385.1
412,2016,FI,MDMA,253.42000000000002,125.20999999999998,349.54
413,2016,FI,cannabis,,,
414,2016,FI,cocaine,52.17999999999999,44.92,57.63
415,2017,FI,amphetamine,193.58999999999997,165.25,214.85000000000002
416,2017,FI,methamphetamine,128.7,115.46000000000001,138.64999999999998
417,2017,FI,MDMA,105.21,56.379999999999995,141.82999999999998
418,2017,FI,cannabis,,,
419,2017,FI,cocaine,68.03,47.96,83.08000000000001
420,2018,FI,amphetamine,1891.92,1770.2200000000005,1990.4499999999998
421,2018,FI,methamphetamine,229.92999999999995,211.38,243.82
422,2018,FI,MDMA,380.93,259.56999999999994,473.94000000000005
423,2018,FI,cannabis,,,
424,2018,FI,cocaine,257.13,208.83,298.78000000000003
425,2019,FI,amphetamine,585.4399999999999,523.53,631.86
426,2019,FI,methamphetamine,78.61,65.69,88.28999999999999
427,2019,FI,MDMA,120.46000000000001,63.870000000000005,162.92
428,2019,FI,cannabis,,,
429,2019,FI,cocaine,144.17999999999998,104.64,173.83
430,2020,FI,amphetamine,3632.4800000000005,3282.9900000000007,3894.6099999999997
431,2020,FI,methamphetamine,84.36000000000001,78.36999999999999,88.81
432,2020,FI,MDMA,513.1800000000001,352.14000000000004,633.9499999999998
433,2020,FI,cannabis,,,
